participant_id	session	run	corr_mean	qc
PT030_OpenNeuro_ds005371_sub-04.nii.gz	V1	1	1.51852	1
PT030_OpenNeuro_ds005405_sub-063.nii.gz	V1	1	1.5190868	1
PT030_OpenNeuro_ds005405_sub-038.nii.gz	V1	1	1.521006	1
PT030_OpenNeuro_ds005405_sub-005.nii.gz	V1	1	1.521193	1
PT030_OpenNeuro_ds005405_sub-048.nii.gz	V1	1	1.5223006	1
PT030_OpenNeuro_ds005374_sub-11.nii.gz	V1	1	1.5227529	1
PT030_OpenNeuro_ds005405_sub-041.nii.gz	V1	1	1.5229465	1
PT030_OpenNeuro_ds005405_sub-067.nii.gz	V1	1	1.523739	1
PT030_OpenNeuro_ds005374_sub-21.nii.gz	V1	1	1.5270759	1
PT030_OpenNeuro_ds005405_sub-012.nii.gz	V1	1	1.5303688	1
PT030_OpenNeuro_ds005405_sub-056.nii.gz	V1	1	1.5310197	1
PT030_OpenNeuro_ds005366_sub-128.nii.gz	V1	1	1.536774	1
PT030_OpenNeuro_ds005405_sub-051.nii.gz	V1	1	1.5403081	1
PT030_OpenNeuro_ds005405_sub-036.nii.gz	V1	1	1.5475899	1
PT030_OpenNeuro_ds005374_sub-42.nii.gz	V1	1	1.5491933	1
PT030_OpenNeuro_ds005374_sub-02.nii.gz	V1	1	1.5499079	1
PT030_OpenNeuro_ds005374_sub-17.nii.gz	V1	1	1.561115	1
PT030_OpenNeuro_ds005374_sub-15.nii.gz	V1	1	1.5623958	1
PT030_OpenNeuro_ds005374_sub-35.nii.gz	V1	1	1.5685736	1
PT030_OpenNeuro_ds005374_sub-22.nii.gz	V1	1	1.5691617	1
PT030_OpenNeuro_ds005374_sub-06.nii.gz	V1	1	1.578577	1
PT030_OpenNeuro_ds005374_sub-36.nii.gz	V1	1	1.5830476	1
PT030_OpenNeuro_ds005374_sub-24.nii.gz	V1	1	1.590781	1
